customer_id,final_pd,top_driver,intervention_type,intervention_detail,rupee_impact,urgency,risk_band,case_summary
296476,0.43001443001443,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 43% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Savings balance has declined significantly over the last 60 days, leaving very little financial buffer. Recommended action: Shift EMI due date to align with actual income arrival pattern."
387046,0.0622981771624671,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,YELLOW,"This customer is flagged as YELLOW risk with a 6% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Savings balance has declined significantly over the last 60 days, leaving very little financial buffer. Recommended action: Shift EMI due date to align with actual income arrival pattern."
199672,0.5548340548340548,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 55% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Savings balance has declined significantly over the last 60 days, leaving very little financial buffer. Recommended action: Shift EMI due date to align with actual income arrival pattern."
308202,0.1072031039136302,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,YELLOW,"This customer is flagged as YELLOW risk with a 11% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: Shift EMI due date to align with actual income arrival pattern."
218609,0.4810841263009547,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 48% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Additional signal: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Recommended action: Shift EMI due date to align with actual income arrival pattern."
199323,0.337035217035217,Cash Hoarding Behavior,TENURE_EXTENSION,"Extend loan tenure from 36 to 48 months. New EMI: Rs 10,417/month","Customer saves Rs 3,472/month in cash outflow immediately",HIGH,RED,"This customer is flagged as RED risk with a 34% probability of default. Primary driver: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Secondary factor: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Additional signal: Payment dates have become increasingly erratic, suggesting reactive rather than planned cash management. Recommended action: 30-day payment holiday to restore financial breathing room."
236428,0.6063492063492064,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 61% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: Shift EMI due date to align with actual income arrival pattern."
172586,0.0622981771624671,Cash Hoarding Behavior,TENURE_EXTENSION,"Extend loan tenure from 36 to 48 months. New EMI: Rs 10,417/month","Customer saves Rs 3,472/month in cash outflow immediately",HIGH,YELLOW,"This customer is flagged as YELLOW risk with a 6% probability of default. Primary driver: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Secondary factor: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Additional signal: Payment dates have become increasingly erratic, suggesting reactive rather than planned cash management. Recommended action: 30-day payment holiday to restore financial breathing room."
144565,0.8648350813193494,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 86% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: Shift EMI due date to align with actual income arrival pattern."
284531,0.4522236864512405,Cash Hoarding Behavior,TENURE_EXTENSION,"Extend loan tenure from 36 to 48 months. New EMI: Rs 10,417/month","Customer saves Rs 3,472/month in cash outflow immediately",HIGH,RED,"This customer is flagged as RED risk with a 45% probability of default. Primary driver: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Secondary factor: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: 30-day payment holiday to restore financial breathing room."
104777,0.667989417989418,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 67% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: Shift EMI due date to align with actual income arrival pattern."
294448,0.0693836755091841,Cash Hoarding Behavior,TENURE_EXTENSION,"Extend loan tenure from 36 to 48 months. New EMI: Rs 10,417/month","Customer saves Rs 3,472/month in cash outflow immediately",HIGH,YELLOW,"This customer is flagged as YELLOW risk with a 7% probability of default. Primary driver: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Secondary factor: Payment dates have become increasingly erratic, suggesting reactive rather than planned cash management. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: 30-day payment holiday to restore financial breathing room."
304646,0.1378707680015979,Cash Hoarding Behavior,TENURE_EXTENSION,"Extend loan tenure from 36 to 48 months. New EMI: Rs 10,417/month","Customer saves Rs 3,472/month in cash outflow immediately",HIGH,YELLOW,"This customer is flagged as YELLOW risk with a 14% probability of default. Primary driver: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Secondary factor: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: 30-day payment holiday to restore financial breathing room."
428182,0.0622981771624671,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,YELLOW,"This customer is flagged as YELLOW risk with a 6% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: Shift EMI due date to align with actual income arrival pattern."
274492,0.8648350813193494,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 86% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Savings balance has declined significantly over the last 60 days, leaving very little financial buffer. Recommended action: Shift EMI due date to align with actual income arrival pattern."
191959,0.1072031039136302,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,YELLOW,"This customer is flagged as YELLOW risk with a 11% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Additional signal: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Recommended action: Shift EMI due date to align with actual income arrival pattern."
375034,0.43001443001443,Cash Hoarding Behavior,TENURE_EXTENSION,"Extend loan tenure from 36 to 48 months. New EMI: Rs 10,417/month","Customer saves Rs 3,472/month in cash outflow immediately",HIGH,RED,"This customer is flagged as RED risk with a 43% probability of default. Primary driver: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Secondary factor: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: 30-day payment holiday to restore financial breathing room."
299582,0.0622981771624671,Cash Hoarding Behavior,TENURE_EXTENSION,"Extend loan tenure from 36 to 48 months. New EMI: Rs 10,417/month","Customer saves Rs 3,472/month in cash outflow immediately",HIGH,YELLOW,"This customer is flagged as YELLOW risk with a 6% probability of default. Primary driver: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Secondary factor: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: 30-day payment holiday to restore financial breathing room."
430950,0.5548340548340548,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 55% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: Shift EMI due date to align with actual income arrival pattern."
282418,0.0622981771624671,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,YELLOW,"This customer is flagged as YELLOW risk with a 6% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: Shift EMI due date to align with actual income arrival pattern."
319769,0.8929069767441861,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 89% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: Shift EMI due date to align with actual income arrival pattern."
196232,0.8929069767441861,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 89% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: Shift EMI due date to align with actual income arrival pattern."
294944,0.43001443001443,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 43% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Savings balance has declined significantly over the last 60 days, leaving very little financial buffer. Recommended action: Shift EMI due date to align with actual income arrival pattern."
210337,0.4226189859709737,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 42% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Savings balance has declined significantly over the last 60 days, leaving very little financial buffer. Recommended action: Shift EMI due date to align with actual income arrival pattern."
404056,0.0542356929095066,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,YELLOW,"This customer is flagged as YELLOW risk with a 5% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Additional signal: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Recommended action: Shift EMI due date to align with actual income arrival pattern."
420305,0.854318408916008,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 85% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: Shift EMI due date to align with actual income arrival pattern."
421716,0.0542356929095066,Cash Hoarding Behavior,TENURE_EXTENSION,"Extend loan tenure from 36 to 48 months. New EMI: Rs 10,417/month","Customer saves Rs 3,472/month in cash outflow immediately",HIGH,YELLOW,"This customer is flagged as YELLOW risk with a 5% probability of default. Primary driver: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Secondary factor: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: 30-day payment holiday to restore financial breathing room."
355941,1.0,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 100% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: Shift EMI due date to align with actual income arrival pattern."
159869,0.9345736434108528,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 93% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: Shift EMI due date to align with actual income arrival pattern."
387725,0.43001443001443,Cash Hoarding Behavior,TENURE_EXTENSION,"Extend loan tenure from 36 to 48 months. New EMI: Rs 10,417/month","Customer saves Rs 3,472/month in cash outflow immediately",HIGH,RED,"This customer is flagged as RED risk with a 43% probability of default. Primary driver: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Secondary factor: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: 30-day payment holiday to restore financial breathing room."
237727,0.0542356929095066,Cash Hoarding Behavior,TENURE_EXTENSION,"Extend loan tenure from 36 to 48 months. New EMI: Rs 10,417/month","Customer saves Rs 3,472/month in cash outflow immediately",HIGH,YELLOW,"This customer is flagged as YELLOW risk with a 5% probability of default. Primary driver: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Secondary factor: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: 30-day payment holiday to restore financial breathing room."
115143,0.1378707680015979,Cash Hoarding Behavior,TENURE_EXTENSION,"Extend loan tenure from 36 to 48 months. New EMI: Rs 10,417/month","Customer saves Rs 3,472/month in cash outflow immediately",HIGH,YELLOW,"This customer is flagged as YELLOW risk with a 14% probability of default. Primary driver: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Secondary factor: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Additional signal: Savings balance has declined significantly over the last 60 days, leaving very little financial buffer. Recommended action: 30-day payment holiday to restore financial breathing room."
251781,0.1374406604747162,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,YELLOW,"This customer is flagged as YELLOW risk with a 14% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: Shift EMI due date to align with actual income arrival pattern."
414414,0.337035217035217,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 34% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Savings balance has declined significantly over the last 60 days, leaving very little financial buffer. Recommended action: Shift EMI due date to align with actual income arrival pattern."
253345,0.4603174603174603,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 46% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Additional signal: Savings balance has declined significantly over the last 60 days, leaving very little financial buffer. Recommended action: Shift EMI due date to align with actual income arrival pattern."
257278,0.1378707680015979,Cash Hoarding Behavior,TENURE_EXTENSION,"Extend loan tenure from 36 to 48 months. New EMI: Rs 10,417/month","Customer saves Rs 3,472/month in cash outflow immediately",HIGH,YELLOW,"This customer is flagged as YELLOW risk with a 14% probability of default. Primary driver: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Secondary factor: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Additional signal: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Recommended action: 30-day payment holiday to restore financial breathing room."
376684,0.3966888966888967,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 40% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Additional signal: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Recommended action: Shift EMI due date to align with actual income arrival pattern."
104532,0.0693836755091841,Cash Hoarding Behavior,TENURE_EXTENSION,"Extend loan tenure from 36 to 48 months. New EMI: Rs 10,417/month","Customer saves Rs 3,472/month in cash outflow immediately",HIGH,YELLOW,"This customer is flagged as YELLOW risk with a 7% probability of default. Primary driver: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Secondary factor: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: 30-day payment holiday to restore financial breathing room."
223374,0.2933429118773946,Income Arrival Irregularity,EMI_DATE_SHIFT,Shift EMI due date to 7th of month when salary credits are most consistent,Reduces missed payment risk. No change in EMI amount.,MEDIUM,RED,"This customer is flagged as RED risk with a 29% probability of default. Primary driver: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Secondary factor: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Additional signal: Savings balance has declined significantly over the last 60 days, leaving very little financial buffer. Recommended action: Shift EMI due date to align with actual income arrival pattern."
224457,0.337035217035217,Cash Hoarding Behavior,TENURE_EXTENSION,"Extend loan tenure from 36 to 48 months. New EMI: Rs 10,417/month","Customer saves Rs 3,472/month in cash outflow immediately",HIGH,RED,"This customer is flagged as RED risk with a 34% probability of default. Primary driver: ATM cash withdrawals have spiked above this customer's normal level, suggesting digital credit channels may be exhausted. Secondary factor: Income is arriving later than this customer's own historical pattern, suggesting salary delays or irregular gig payouts. Additional signal: Financial stress is accelerating rapidly compared to earlier months, not just present but getting worse quickly. Recommended action: 30-day payment holiday to restore financial breathing room."
